usage_id,account_id,login_count,active_users,api_calls,storage_used_gb,feature_usage_score,last_login
USG00000001,ACC002936,39,9,1696,,21.8,2026-06-08
USG00000002,ACC002908,1917,171,312878,242.0,75.9,2026-05-12
USG00000003,ACC002775,2424,451,110450,65.0,76.9,2026-04-26
USG00000004,ACC001613,1953,289,222155,332.0,52.3,2026-04-11
USG00000005,ACC001465,3083,111,432452,90.0,79.9,2027-06-30
USG00000006,ACC000566,154,26,38862,56.0,41.1,2026-06-29
USG00000007,ACC000688,14608,4398,1197400,2938.0,94.6,2026-06-04
USG00000008,ACC001440,1437,152,202029,375.0,72.0,2026-06-24
USG00000009,ACC002007,1162,78,434538,,74.7,2026-06-25
USG00000010,ACC001269,16261,1524,-3423461,4019.0,94.0,2026-04-15
USG00000011,ACC000850,159,39,16312,53.0,51.5,2026-05-15
USG00000012,ACC001667,2356,212,266985,263.0,76.0,2026-06-12
USG00000013,ACC001024,609,58,12478,,38.0,2026-05-01
USG00000014,ACC001772,1068,425,444458,380.0,63.4,2026-05-18
USG00000015,ACC002452,17865,4415,2444578,2875.0,85.8,2026-04-25
USG00000016,ACC001091,27,15,3869,16.28,40.2,2026-04-30
USG00000017,ACC001319,3912,201,60357,407.0,74.1,2026-07-05
USG00000018,ACC000878,4808,107,64376,315.0,68.5,2026-05-07
USG00000019,ACC002529,556,28,26345,47.0,30.3,2026-04-20
USG00000020,ACC000413,1682,269,48212,186.0,80.0,2026-04-21
USG00000021,ACC002640,12842,4247,235067,4223.0,74.6,2026-05-04
USG00000022,ACC002851,241,96,22861,15.0,39.2,2026-04-17
USG00000023,ACC001868,575,66,26666,13.0,30.7,2026-06-27
USG00000024,ACC000162,732,88,19510,59.0,37.9,2026-04-19
USG00000025,ACC000617,434,22,42771,15.0,40.6,2026-06-10
USG00000026,ACC002602,787,10,27807,17.0,56.0,2026-04-27
USG00000027,ACC002675,11443,2691,3124732,1770.0,73.8,2026-07-05
USG00000028,ACC001084,11894,2889,593184,248.0,70.6,2026-06-29
USG00000029,ACC001009,184,46,11827,38.0,31.2,2026-05-15
USG00000030,ACC002616,14770,1471,4622955,3465.0,82.0,2026-06-17
USG00000031,ACC000388,4414,278,102181,386.0,55.5,2026-04-12
USG00000032,ACC002984,93,18,3571,16.07,21.6,2026-06-16
USG00000033,ACC000729,319,75,21357,91.0,59.1,2026-04-15
USG00000034,ACC002797,713,71,27711,65.0,40.1,2026-06-08
USG00000035,ACC001037,28,12,4678,15.53,26.9,2026-07-05
USG00000036,ACC001512,196,93,21423,10.0,45.8,2026-04-12
USG00000037,ACC002444,2239,338,158415,174.0,75.7,2026-04-22
USG00000038,ACC000183,628,99,18259,57.0,57.1,2026-06-03
USG00000039,ACC002566,113,92,36473,92.0,32.1,2026-04-27
USG00000040,ACC001404,2294,339,137895,168.0,70.5,2026-05-17
USG00000041,ACC002906,492,97,24646,51.0,58.5,2026-07-03
USG00000042,ACC002491,125,11,1775,15.73,23.1,2026-05-12
USG00000043,ACC000388,2090,228,182894,269.0,65.4,2026-06-13
USG00000044,ACC002135,58,4,1202,19.19,22.0,2026-05-20
USG00000045,ACC000980,57,3,493,7.4,20.4,2026-05-22
USG00000046,ACC000970,10726,2199,4675674,,72.0,2026-05-31
USG00000047,ACC000201,190,10,2151,12.57,37.8,2026-06-09
USG00000048,ACC002054,17823,4570,4354300,3215.0,82.6,2026-05-16
USG00000049,ACC000586,3577,109,338772,431.0,68.4,2026-06-20
USG00000050,ACC000472,731,456,104150,196.0,52.7,2026-04-21
USG00000051,ACC002162,258,93,33482,73.0,51.7,2026-06-30
USG00000052,ACC001955,2876,459,413491,273.0,56.4,2026-05-27
USG00000053,ACC000029,4260,170,236036,91.0,77.2,2026-05-31
USG00000054,ACC002271,13518,4106,4987664,649.0,77.1,2026-04-15
USG00000055,ACC000145,480,19,29957,73.0,32.8,2026-04-07
USG00000056,ACC002732,4170,75,396660,422.0,65.6,2026-06-30
USG00000057,ACC002812,858,50,29034,60.0,30.9,2026-06-21
USG00000058,ACC000329,1725,255,45696,320.0,62.0,2026-05-03
USG00000059,ACC000241,15427,2898,3154336,3848.0,76.6,2026-06-09
USG00000060,ACC002169,2860,390,-301276,,74.2,2026-07-06
USG00000061,ACC001848,636,250,162332,,66.8,2026-06-08
USG00000062,ACC002101,259,93,8389,79.0,62.5,2026-05-08
USG00000063,ACC001878,287,80,33263,72.0,49.0,2026-04-27
USG00000064,ACC000132,17322,3600,1462011,3754.0,80.8,2026-06-04
USG00000065,ACC000739,3047,201,310156,237.0,79.3,2026-05-10
USG00000066,ACC000521,62,7,2187,2.04,32.2,2026-04-15
USG00000067,ACC001787,13623,247,1304573,2636.0,76.5,2026-05-06
USG00000068,ACC001842,192,13,3155,19.06,20.2,2026-05-27
USG00000069,ACC001736,3137,278,270931,494.0,65.8,2026-04-30
USG00000070,ACC001608,4889,426,466441,259.0,70.0,2026-06-21
USG00000071,ACC001508,102,3,4206,15.95,31.4,2026-04-16
USG00000072,ACC001587,534,63,31465,8.0,43.8,2026-06-24
USG00000073,ACC000524,4604,138,420776,250.0,61.8,2026-06-13
USG00000074,ACC001343,180,70,3531,53.0,40.1,2026-05-11
USG00000075,ACC000300,192,57,12457,98.0,45.8,2026-06-04
USG00000076,ACC000463,166,69,15416,57.0,60.7,2026-04-09
USG00000077,ACC002501,260,98,47990,20.0,50.4,2026-04-22
USG00000078,ACC000608,1828,196,180683,243.0,76.9,2026-07-04
USG00000079,ACC002153,503,39,45102,25.0,56.9,2026-04-07
USG00000080,ACC001425,470,13,47975,57.0,33.2,2026-05-10
USG00000081,ACC000041,3966,383,469223,345.0,73.8,2026-06-04
USG00000082,ACC000111,90,18,526,17.85,36.3,2026-05-18
USG00000083,ACC002875,256,26,10022,41.0,42.6,2026-06-05
USG00000084,ACC000966,4197,59,450605,386.0,59.3,2026-05-01
USG00000085,ACC000958,170,6,558,11.64,28.3,2026-06-12
USG00000086,ACC002358,1000,433,131395,452.0,65.6,2026-06-15
USG00000087,ACC001367,294,30,27454,97.0,38.5,2026-06-03
USG00000088,ACC001317,168,77,49496,40.0,30.6,2026-05-30
USG00000089,ACC001583,107,71,37716,90.0,58.5,2026-04-20
USG00000090,ACC000422,9061,622,309624,4475.0,89.4,2026-04-30
USG00000091,ACC000349,135,13,1638,,46.6,2026-05-11
USG00000092,ACC001163,137,19,4604,5.33,23.2,2026-05-22
USG00000093,ACC002735,763,79,42311,35.0,62.1,2026-04-23
USG00000094,ACC001986,3515,134,467861,204.0,65.2,2026-04-25
USG00000095,ACC000493,43,17,2943,3.54,16.6,2026-05-15
USG00000096,ACC000480,4881,497,28737,202.0,68.5,2026-05-30
USG00000097,ACC001184,163,11,2607,3.29,34.6,2026-06-28
USG00000098,ACC001877,16505,1066,1106156,3418.0,86.5,2026-06-28
USG00000099,ACC001769,360,11,28045,88.0,47.5,2026-04-13
USG00000100,ACC000317,65,3,273,7.7,36.0,2026-05-03
USG00000101,ACC001466,105,16,-4862,12.03,31.8,2026-04-16
USG00000102,ACC000394,394,28,15682,27.0,30.4,2026-06-10
USG00000103,ACC002697,82,12,4288,13.84,25.7,2026-06-26
USG00000104,ACC000863,3977,269,204717,112.0,64.9,2026-04-24
USG00000105,ACC002661,132,1,1620,9.67,25.4,2026-06-20
USG00000106,ACC001600,548,100,42799,9.0,39.9,2026-06-26
USG00000107,ACC000409,289,92,42077,86.0,45.5,2026-05-12
USG00000108,ACC002273,3866,1291,4784647,4571.0,86.9,2026-05-30
USG00000109,ACC002134,13440,939,2811002,469.0,98.4,2026-04-28
USG00000110,ACC002355,571,71,42604,15.0,43.7,2026-04-13
USG00000111,ACC000166,48,11,4466,14.99,24.9,2026-04-09
USG00000112,ACC000264,497,95,32655,82.0,57.7,2026-04-23
USG00000113,ACC000674,3715,149,188456,421.0,66.6,2026-05-11
USG00000114,ACC000267,12852,3905,1110601,4289.0,77.3,2026-06-22
USG00000115,ACC002231,507,76,49620,73.0,40.9,2026-05-22
USG00000116,ACC001675,267,66,1184,43.0,47.4,2026-04-29
