subscription_id,account_id,plan,monthly_revenue,annual_contract_value,renewal_date,status
SUB000001,ACC000707,Professional,6327.52,75212.86,2027-06-10,Active
SUB000002,ACC002745,Enterprise,43118.55,474580.93,2027-05-08,Active
SUB000003,ACC000273,Starter,141.31,1540.47,2027-05-06,Active
SUB000004,ACC001250,Professional,6942.52,76996.43,2026-08-03,Active
SUB000005,ACC001270,Enterprise,22659.14,234914.69,2025-07-23,Active
SUB000006,ACC002663,Growth,1054.73,12154.11,2026-03-02,Paused
SUB000007,ACC000748,Starter,448.37,4925.74,2026-10-20,Active
SUB000008,ACC000864,Starter,172.46,1895.08,2027-07-01,Active
SUB000009,ACC002919,Professional,4895.36,55933.44,2027-02-25,Active
SUB000010,ACC000993,Professional,4279.3,51143.49,2026-11-22,Active
SUB000011,ACC002071,Starter,380.51,4227.69,2027-02-05,Active
SUB000012,ACC002017,Professional,4055.06,41842.97,2027-06-07,Active
SUB000013,ACC000378,Professional,6303.71,70935.5,2027-04-17,Active
SUB000014,ACC001506,Enterprise,11983.41,136029.66,2026-12-05,Active
SUB000015,ACC002625,Starter,121.16,1365.16,2026-01-22,Cancelled
SUB000016,ACC002668,Growth,1601.49,18730.09,2027-05-29,Active
SUB000017,ACC000242,Starter,150.98,1771.98,2026-06-29,Cancelled
SUB000018,ACC000277,Professional,3119.89,33031.59,2026-11-11,Active
SUB000019,ACC001459,Professional,5055.5,51890.47,2026-08-31,Active
SUB000020,ACC002807,Starter,420.45,4667.28,2027-04-08,Active
SUB000021,ACC001968,Starter,128.7,1374.65,2026-07-23,Active
SUB000022,ACC002016,Growth,1449.31,15666.39,2026-07-31,Trial
SUB000023,ACC001006,Growth,716.22,7496.55,2027-01-19,Active
SUB000024,ACC000423,Starter,418.24,4584.05,2027-06-24,Active
SUB000025,ACC000007,Growth,850.3,9784.97,2027-03-11,Active
SUB000026,ACC002474,Professional,2394.64,28689.76,2027-01-12,Active
SUB000027,ACC001586,Professional,2312.4,25999.7,2026-05-11,Paused
SUB000028,ACC002120,Professional,6805.9,70707.64,2027-02-13,Active
SUB000029,ACC001085,Professional,7245.74,81396.68,2027-04-14,Active
SUB000030,ACC002210,Enterprise,24352.99,254137.06,2027-04-22,Active
SUB000031,ACC000507,Growth,1462.82,15112.35,2026-07-14,Trial
SUB000032,ACC001843,Growth,926.62,9463.0,2026-12-18,Active
SUB000033,ACC001714,Growth,1738.41,19625.1,2027-02-12,Active
SUB000034,ACC001168,Professional,3491.77,40640.14,2026-03-31,Paused
SUB000035,ACC000349,Growth,566.1,6359.98,2026-11-12,Active
SUB000036,ACC001097,Starter,395.25,4404.56,2026-11-10,Active
SUB000037,ACC002129,Professional,2028.87,21935.49,2026-08-07,Active
SUB000038,ACC001859,Professional,4474.74,48228.53,2027-06-13,Active
SUB000039,ACC002156,Starter,206.41,2173.65,2027-04-16,Active
SUB000040,ACC002000,Professional,6481.29,71943.99,2027-01-08,Active
SUB000041,ACC001994,Enterprise,43884.22,466422.97,2026-08-06,Active
SUB000042,ACC002414,Enterprise,26913.88,292139.34,2026-11-06,Active
SUB000043,ACC000892,Enterprise,34213.51,386935.35,2027-02-02,Active
SUB000044,ACC000018,Professional,3133.23,36968.59,2026-10-03,Active
SUB000045,ACC001405,Enterprise,12906.27,149290.63,2026-08-16,Active
SUB000046,ACC001511,Growth,553.1,6138.45,2027-04-22,Active
SUB000047,ACC000547,Starter,127.29,1488.0,2027-05-14,Active
SUB000048,ACC001246,Professional,6257.02,69601.03,2026-07-23,Active
SUB000049,ACC001228,Enterprise,32164.09,335331.27,2027-05-23,Active
SUB000050,ACC002739,Enterprise,22784.94,257820.5,2026-09-12,Active
SUB000051,ACC002580,Enterprise,14129.88,156666.22,2026-06-04,Cancelled
SUB000052,ACC000325,Starter,157.95,1720.99,2026-07-22,Trial
SUB000053,ACC001099,Starter,201.46,2063.58,2027-02-04,Active
SUB000054,ACC000568,Professional,7457.71,88208.13,2026-07-17,Trial
SUB000055,ACC000848,Starter,267.16,2904.05,2026-07-25,Active
SUB000056,ACC000256,Professional,5657.92,65611.58,2026-11-08,Active
SUB000057,ACC002236,Enterprise,18533.71,195109.73,2027-01-27,Active
SUB000058,ACC001296,Starter,,1398.75,2026-10-11,Active
SUB000059,ACC001466,Growth,1596.34,16850.94,2027-01-14,Active
SUB000060,ACC002744,Enterprise,,247792.98,2027-02-24,Active
SUB000061,ACC001783,Growth,1612.99,17690.5,2026-02-22,Paused
SUB000062,ACC002571,Starter,267.14,2850.22,2026-04-08,Cancelled
SUB000063,ACC001663,Professional,2275.21,27106.0,2026-07-26,Active
SUB000064,ACC001132,Starter,182.91,1958.73,2027-02-19,Active
SUB000065,ACC000442,Growth,906.19,9602.16,2026-12-13,Active
SUB000066,ACC001491,Professional,3543.5,41695.82,2026-08-03,Trial
SUB000067,ACC002549,Starter,100.36,1150.63,2027-04-30,Active
SUB000068,ACC001260,Growth,1720.04,19354.47,2026-07-12,Active
SUB000069,ACC000030,Professional,2070.39,22999.61,2026-01-26,Paused
SUB000070,ACC000260,Professional,7059.89,78496.01,2026-05-31,Cancelled
SUB000071,ACC002811,Enterprise,13505.93,158478.42,2026-06-18,Cancelled
SUB000072,ACC001983,Enterprise,49911.4,528776.26,2026-06-11,Cancelled
SUB000073,ACC000419,Professional,3327.72,35526.48,2026-03-09,Paused
SUB000074,ACC001161,Growth,698.03,7260.53,2027-04-28,Active
SUB000075,ACC002383,Enterprise,36327.06,421869.68,2026-11-19,Active
SUB000076,ACC001120,Professional,5717.76,68053.74,2027-01-07,Active
SUB000077,ACC001135,Professional,3596.85,37879.54,2027-06-14,Active
SUB000078,ACC000196,Starter,232.17,2389.95,2026-06-05,Paused
SUB000079,ACC001592,Professional,7016.7,79625.29,2026-07-16,Trial
SUB000080,ACC000063,Growth,779.82,8912.56,2026-06-22,Cancelled
SUB000081,ACC000956,Starter,439.15,4725.14,2026-01-17,Cancelled
SUB000082,ACC000446,Professional,3823.95,41444.21,2027-04-08,Active
SUB000083,ACC001011,Starter,461.46,5087.1,2026-11-01,Active
SUB000084,ACC002104,Starter,324.45,3693.9,2027-03-14,Active
SUB000085,ACC000093,Enterprise,37241.52,403878.41,2026-05-01,Paused
SUB000086,ACC000060,Professional,4422.27,51051.84,2026-04-28,Cancelled
SUB000087,ACC002091,Growth,967.37,10502.49,2027-02-27,Active
SUB000088,ACC000510,Enterprise,29374.73,325454.0,2026-09-26,Active
