ticket_id,account_id,priority,issue_category,status,created_date,resolved_date,satisfaction_score
TKT0000001,ACC000275,Critical,Billing,In Progress,2025-05-20,,
TKT0000002,ACC001014,Medium,Billing,Open,2026-01-09,,
TKT0000003,ACC002401,Critical,Billing,In Progress,2026-05-01,,
TKT0000004,ACC001329,Critical,Feature Request,Open,2024-07-07,,
TKT0000005,ACC001553,Critical,Billing,Open,2025-09-02,,
TKT0000006,ACC002781,Medium,General Inquiry,Resolved,2026-03-24,2026-03-31,1.0
TKT0000007,ACC002499,Low,Bug,Resolved,2024-10-06,2024-10-24,4.0
TKT0000008,ACC002080,High,Bug,In Progress,2024-10-23,,
TKT0000009,ACC001306,Critical,Bug,In Progress,2025-11-03,,
TKT0000010,ACC002682,Medium,Feature Request,Open,2025-04-07,,
TKT0000011,ACC000205,Low,Feature Request,Open,2025-02-19,,
TKT0000012,ACC001564,Low,Feature Request,Open,2025-09-18,,
TKT0000013,ACC000023,High,General Inquiry,Open,2024-09-01,,
TKT0000014,ACC002409,Low,Bug,Resolved,2025-02-02,2025-02-25,
TKT0000015,ACC002154,Low,Feature Request,Closed,2026-05-23,2026-06-06,4.0
TKT0000016,ACC002200,Medium,Feature Request,In Progress,2024-11-10,,
TKT0000017,ACC000451,Low,Billing,Closed,2024-09-07,2024-09-29,1.0
TKT0000018,ACC000668,Medium,General Inquiry,Open,2026-05-11,,
TKT0000019,ACC000618,Low,Billing,Open,2025-03-02,,
TKT0000020,ACC002125,Low,Technical,Resolved,2025-03-17,2025-04-09,4.0
TKT0000021,ACC000711,Medium,Bug,Resolved,2025-03-16,2025-03-22,3.0
TKT0000022,ACC000690,High,General Inquiry,Closed,2025-09-29,2025-09-30,2.0
TKT0000023,ACC001656,Medium,Billing,In Progress,2024-09-27,,
TKT0000024,ACC001795,Medium,Bug,Open,2026-05-20,,
TKT0000025,ACC001652,Low,Feature Request,Resolved,2024-10-21,2024-11-06,1.0
TKT0000026,ACC000983,Medium,Bug,Resolved,2025-12-20,2025-12-23,3.0
TKT0000027,ACC001788,High,Billing,Resolved,2024-11-16,2024-11-17,3.0
TKT0000028,ACC001295,Low,General Inquiry,Closed,2024-09-06,2024-09-23,4.0
TKT0000029,ACC002100,High,Bug,In Progress,2025-09-21,,
TKT0000030,ACC001889,Low,Technical,Resolved,2025-11-20,2025-12-08,5.0
TKT0000031,ACC000222,Low,Billing,Resolved,2026-05-27,2026-06-22,4.0
TKT0000032,ACC002240,Medium,Feature Request,Resolved,2025-12-07,2025-12-12,3.0
TKT0000033,ACC000386,Medium,General Inquiry,Closed,2025-06-26,2025-06-29,1.0
TKT0000034,ACC001629,Critical,General Inquiry,Resolved,2026-07-02,2026-07-03,1.0
TKT0000035,ACC002282,Medium,General Inquiry,Resolved,2025-03-21,2025-03-24,
TKT0000036,ACC001367,Low,Technical,Resolved,2026-05-04,2026-05-11,2.0
TKT0000037,ACC001469,Low,General Inquiry,In Progress,2026-02-01,,
TKT0000038,ACC001550,High,Technical,Resolved,2024-08-07,2024-08-09,4.0
TKT0000039,ACC001042,High,Technical,Open,2025-09-03,,
TKT0000040,ACC002771,Medium,General Inquiry,Closed,2026-03-21,2026-03-24,2.0
