activity_id,account_id,page_views,sessions,average_session_time,downloads,webinar_attendance,last_visit
ACT00000001,ACC002868,1079,246,897.2,34,15,2026-06-03
ACT00000002,ACC000733,2454,217,324.7,7,15,2026-05-27
ACT00000003,ACC001154,683,13,371.8,10,3,2026-05-20
ACT00000004,ACC001212,121,27,192.9,4,0,2026-05-15
ACT00000005,ACC001322,2705,97,847.9,15,9,2026-05-13
ACT00000006,ACC001261,411,23,435.6,2,5,2026-05-28
ACT00000007,ACC001690,787,88,479.5,4,1,2026-06-13
ACT00000008,ACC002484,16,3,282.0,3,2,2026-07-01
ACT00000009,ACC001465,1985,285,849.6,26,2,2026-06-09
ACT00000010,ACC000639,228,15,259.7,9,4,2026-05-12
ACT00000011,ACC002768,423,15,234.4,10,5,2026-06-07
ACT00000012,ACC001315,93,20,87.7,5,2,2026-06-18
ACT00000013,ACC001705,621,69,62.7,14,3,2026-06-10
ACT00000014,ACC002143,775,10,218.9,8,5,2026-07-06
ACT00000015,ACC001309,79,10,219.0,5,2,2026-05-23
ACT00000016,ACC002791,13640,1857,1777.1,180,77,2026-05-22
ACT00000017,ACC000126,142,5,199.6,5,2,2026-05-10
ACT00000018,ACC002718,933,381,461.3,36,11,2026-05-31
ACT00000019,ACC001486,2252,365,231.0,28,11,2026-05-25
ACT00000020,ACC000949,283,91,211.8,12,4,2026-05-20
ACT00000021,ACC000541,519,14,235.7,4,1,2026-05-23
ACT00000022,ACC001157,609,55,91.0,9,5,2026-05-11
ACT00000023,ACC002800,557,68,213.6,7,2,2026-06-20
ACT00000024,ACC000997,2728,238,533.8,25,12,2026-05-26
ACT00000025,ACC000024,2247,303,740.3,30,7,2026-06-28
ACT00000026,ACC000638,725,92,120.4,5,0,2026-05-20
ACT00000027,ACC000351,18811,1656,1168.5,190,38,2026-05-19
ACT00000028,ACC002103,33,19,282.0,5,0,2026-05-13
ACT00000029,ACC002001,676,73,331.5,4,2,2026-05-15
ACT00000030,ACC000785,535,57,207.4,7,2,2026-06-11
ACT00000031,ACC001100,18792,919,1484.9,164,24,2026-05-29
ACT00000032,ACC002307,16044,821,1778.2,82,24,2026-06-04
ACT00000033,ACC001390,157,17,120.4,0,1,2026-05-23
ACT00000034,ACC000815,87,30,151.6,1,2,2026-05-15
ACT00000035,ACC000762,668,13,179.9,2,1,2026-06-18
ACT00000036,ACC000054,455,37,511.3,2,4,2026-06-03
ACT00000037,ACC000245,466,65,306.0,7,4,2026-07-05
ACT00000038,ACC002294,537,100,485.4,4,5,2026-06-06
ACT00000039,ACC000851,459,288,488.0,7,11,2026-06-14
ACT00000040,ACC002407,18496,1214,1789.1,30,85,2026-05-21
ACT00000041,ACC002733,2075,277,262.9,38,13,2026-07-06
ACT00000042,ACC001670,129,30,263.0,4,1,2026-06-02
ACT00000043,ACC001196,886,265,706.7,14,5,2026-06-23
ACT00000044,ACC000989,15,25,44.8,0,2,2026-05-28
ACT00000045,ACC000779,59,16,146.7,4,2,2026-06-10
ACT00000046,ACC002646,154,17,256.4,3,1,2026-05-31
ACT00000047,ACC001468,1287,152,222.8,11,14,2026-06-28
